"perplexity","ng"
4.93686914385665,2
7.92147252671593,2
4.78471009982017,3
2.24070968927596,3
9.04823312243247,2
2.60141172999889,2
4.79164975293071,2
7.68879886144827,2
6.57994541543958,3
1.76651171623697,2
4.90265025476613,2
1.58024417612941,2
2.00533356952611,2
7.09991632850822,1
10.8452075861789,1
5.87082478316389,1
14.0784262088519,1
13.4078926342105,1
5.91687569011691,2
1.23807841681245,4
14.075483503969,1
14.075483503969,1
1.97045125797143,2
14.0754865882541,1
14.0795411256848,1
5.73686027444302,2
14.075498925299,1
0.955511445027435,3
0,3
11.3029017213572,1
11.1878806855355,1
11.3674333028668,1
9.87479551633539,1
9.56757182770017,2
4.08597631255159,2
6.42731993646602,1
3.51889213362481,1
0.169500868364894,2
11.2685898215005,1
12.978945560456,1
2.81341071676004,4
6.55851244792526,1
14.0821985386078,1
10.2042956012068,1
5.77264190482344,1
4.18334863332844,2
2.77258872223978,2
14.075483503969,1
9.08399084987698,1
0.251314428280906,2
6.08039075630238,3
4.27202573945955,3
5.93753620508243,2
7.53656391840718,2
7.31188616407717,2
10.0874974980142,1
14.0767434133991,1
8.17779668327778,2
0.773189888233481,2
11.6892152306688,1
5.30132675490678,1
0,3
6.22719521392766,2
0.238891908282349,2
7.52752498973731,2
7.15513605466039,2
5.0768769095995,2
14.0754858171837,1
5.46443573708117,1
0.693147180559945,3
5.05027015826324,1
4.7382477409482,1
8.60070679164406,2
6.75273755671553,2
10.2688379776486,1
11.327602157427,1
3.41772668361337,2
11.8782620109178,1
6.33664841592964,1
9.79881738495298,1
4.24725223380976,2
4.08276035618808,2
